id,sku,name,category,description,zone,section,position,inventoriable,stock_on_hand,stock_on_order,total_purchased,tracking_unit,purchase_unit,purchase_to_tracking_conversion,stock_status,state,unit_cost,actual_unit_cost,low_stock_limit,currency,starting_quantity,starting_unit_price,preferred_vendor,last_stocktake,Created At,Updated At
21557835,042,Moroccan Seasoning,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557847,046,Petits Pois Frozen),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:46 +0100,2026-07-17 14:30:46 +0100
21557808,034,Kale,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557802,031,Cumin (Ground),,"","","","",yes,5000.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,5000.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557805,033,Fine Himalayan Pink Salt,,"","","","",yes,1800.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,1800.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557817,036,"Leek (Green, Raw, Sliced)",,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557796,030,Rhubarb (Fresh),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557811,035,Egg (Large),,"","","","",yes,22800.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,22800.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557793,029,"Black Pepper (Ground, Coarse)",,"","","","",yes,13000.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,13000.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557784,026,Goats Cheese,,"","","","",yes,1350.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,1350.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557799,030a,Rhubarb (Tinned),,"","","","",yes,11280.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,11280.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557772,022b,Krupchatka,,"","","","",yes,20300.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,20300.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557775,023,Dill (Fresh),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557766,022,Semolina (Coarse),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557748,015,Cumin Seeds,,"","","","",yes,5000.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,5000.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557736,011a,Diced Onion (Frozen),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-17 14:30:45 +0100
21557727,009a,Salad Cheese (Feta Cheese),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:44 +0100,2026-07-17 14:30:44 +0100
21558486,412,Desiccated Coconut,,"","","","",yes,29000.0,0.0,29000.0,g,kg,1000.0,In Stock,active,0.00327,0.00327,0.0,GBP,0.0,0.0,Makro,"",2026-07-17 14:30:51 +0100,2026-07-17 16:34:54 +0100
21558681,654,Turkish Raisins,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:53 +0100,2026-07-17 14:30:53 +0100
21558684,655,Sultanas,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:53 +0100,2026-07-17 14:30:53 +0100
21558633,633,Emmental Cheese,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:52 +0100,2026-07-17 14:30:52 +0100
21558372,344,Olive Oil (Light),,"","","","",yes,3700.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,3700.0,0.0,"","",2026-07-17 14:30:50 +0100,2026-07-17 14:30:50 +0100
21558693,659,"Salt (Rock, Fine) K1.4-0.4",,"","","","",yes,49000.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,49000.0,0.0,"","",2026-07-17 14:30:53 +0100,2026-07-17 14:30:53 +0100
21558699,661,Garlic Paste,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:53 +0100,2026-07-17 14:30:53 +0100
21558273,304,Bougatsa (Vanilla Danish),,"","","","",yes,200.0,0.0,200.0,item,item,1.0,In Stock,active,0.998,0.998,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:49 +0100,2026-07-17 16:49:09 +0100
21558147,244,Pastel De Nata,,"","","","",yes,624.0,0.0,624.0,pieces,box,104.0,In Stock,active,0.51692,0.51692,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 16:47:21 +0100
21558129,239,Mushroom Paste,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558093,224,Prawns,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558117,234,Henderson Relish,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558108,230,Cheddar Cheese,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558114,233,Parmesan (Ground),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558102,228,Goats Cheese (Large Log),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558072,215,Crispy Fried Onions,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558111,232,Nutmeg (Ground),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558090,223,Coriander (Fresh),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558099,227,Gherkins,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558105,228a,Goats Cheese (Large With Rind),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558078,217,Dried Cranberries,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558042,203,Chestnut Mousse,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
